Date,Close/Last,Volume,Open,High,Low
10/01/2020,$73.23,3045356,$72.46,$73.74,$72.1
09/30/2020,$72.33,1926375,$72.76,$73.41,$71.8
09/29/2020,$73.14,1384682,$72.9,$73.7,$72.711
09/28/2020,$72.3,1066433,$72.63,$72.94,$71.97
09/25/2020,$71.94,931980,$71.02,$72.33,$71.02
09/24/2020,$71.75,1386271,$71.58,$72.46,$70.82
09/23/2020,$71.06,1998638,$72.2,$72.645,$70.64
09/22/2020,$72.98,2813280,$71.66,$73.5,$71.26
09/21/2020,$70.23,3279373,$69.57,$70.5,$68.61
09/18/2020,$69.25,3100282,$69.81,$70.9,$69.13
09/17/2020,$68.83,2947077,$68.73,$70.09,$67.07
09/16/2020,$68.93,2021195,$70.87,$70.87,$68.84
09/15/2020,$70.27,1143530,$70.75,$70.95,$70.14
09/14/2020,$69.9,1522204,$70,$70.01,$69.52
09/11/2020,$69.18,933012,$69.25,$69.92,$68.45
09/10/2020,$69.06,1492117,$70,$70.2,$68.86
09/09/2020,$69.76,1898911,$69.88,$70.14,$69.34
09/08/2020,$68.52,2636384,$67.79,$69.68,$67.79
09/04/2020,$68.82,2605139,$69.32,$69.76,$67
09/03/2020,$69.36,2812717,$71.39,$71.86,$68.54
09/02/2020,$71.84,2893114,$73.55,$73.55,$71.51
09/01/2020,$72.49,2357111,$73.2,$73.41,$72.28
08/31/2020,$72.35,1789593,$73.58,$73.73,$72.21
08/28/2020,$73,1217754,$73.39,$73.8,$72.93
08/27/2020,$73.46,1265019,$75.36,$75.59,$72.66
08/26/2020,$75,3613987,$74.7,$75.53,$74.6
08/25/2020,$74.77,1524992,$74.94,$75.38,$74.51
08/24/2020,$74.83,2345623,$77,$77.1846,$74.42
08/21/2020,$76.33,2057001,$77.5,$77.61,$75.88
08/20/2020,$77.04,1288999,$77.68,$77.68,$76.27
08/19/2020,$78.2,1492143,$78.81,$79.18,$77.76
08/18/2020,$78.2,1256800,$78.63,$79.11,$78.06
08/17/2020,$77.56,801436,$76.75,$78.14,$76.75
08/14/2020,$76.75,1107302,$77.66,$78.18,$76.46
08/13/2020,$77.64,1299122,$78.2,$78.8,$76.67
08/12/2020,$77.26,2001761,$77.1,$78.38,$76.31
08/11/2020,$73.75,697234,$75,$75.29,$73.4
08/10/2020,$74.86,515453,$75.33,$75.33,$74.02
08/07/2020,$75.01,1133104,$74.75,$76.105,$74.54
08/06/2020,$75,579874,$74.61,$75.85,$74.61
08/05/2020,$74.38,1118316,$73.48,$75.5691,$73.38
08/04/2020,$72.99,657616,$72.41,$73.45,$72.31
08/03/2020,$73.55,1214767,$72.61,$74.68,$72.5
07/31/2020,$72.24,1814460,$71.5,$72.26,$71.14
07/30/2020,$70.2,1160472,$70.1,$70.95,$69.59
07/29/2020,$71.08,2334821,$71.5,$71.78,$70.72
07/28/2020,$70.1,850305,$71.21,$71.7,$70.1
07/27/2020,$71,1816760,$71.12,$71.605,$70.43
07/24/2020,$68.85,1467060,$69,$69.75,$68.41
07/23/2020,$69.49,995219,$71.34,$71.34,$69
07/22/2020,$70.77,682164,$70.72,$71.58,$69.9
07/21/2020,$70.96,1110170,$71.71,$71.9,$70.37
07/20/2020,$70.05,962809,$70.38,$70.9,$69.97
07/17/2020,$70.15,605030,$69.6,$70.21,$69.19
07/16/2020,$69.77,1786770,$69.28,$70.43,$68.73
07/15/2020,$69.43,2659498,$70.4,$70.775,$69
07/14/2020,$69.97,1632091,$69.23,$70.2,$68.65
07/13/2020,$69.52,2365675,$72,$72.5,$69.03
07/10/2020,$71.87,710643,$71,$71.96,$70.41
07/09/2020,$71.47,936650,$71.17,$72.115,$70.36
07/08/2020,$70.9,1872030,$72,$72,$70.18
07/07/2020,$71.07,3843336,$72,$72.83,$71.07
07/06/2020,$72.96,4693044,$71.55,$73.43,$71.05
07/02/2020,$69.87,1472562,$70.21,$70.67,$69.621
07/01/2020,$69.13,2666906,$70.5,$70.7,$68.6884
06/30/2020,$70.3,2259689,$68.95,$70.88,$68.63
06/29/2020,$69.72,1789706,$69.49,$70.26,$68.72
06/26/2020,$69.05,4836239,$69.63,$69.64,$68.29
06/25/2020,$68.95,2526862,$68,$69.06,$67.4
06/24/2020,$68.45,3687665,$68.83,$69.26,$67.01
06/23/2020,$70.06,3742450,$67,$70.22,$66.76
06/22/2020,$66,2702048,$64.86,$66.42,$64.27
06/19/2020,$63.88,2999087,$64.5,$64.99,$63.006
06/18/2020,$63.77,3470159,$64,$64.24,$63.31
