Date,Close/Last,Volume,Open,High,Low
07/10/2020,$87.24,1026798,$86.2,$87.44,$85.695
07/09/2020,$86.38,1812115,$86.62,$87.245,$85.69
07/08/2020,$86.55,1464035,$86.93,$87.46,$86.06
07/07/2020,$86.86,1310742,$87.99,$88.19,$86.68
07/06/2020,$88.51,1286941,$87.65,$88.75,$86.38
07/02/2020,$86.56,1743357,$87.74,$88.62,$86.355
07/01/2020,$86.45,1963334,$87.17,$87.67,$85.57
06/30/2020,$86.91,2046704,$85.91,$87.41,$85.54
06/29/2020,$86.98,1292268,$85.02,$87.18,$84.32
06/26/2020,$84.79,4644379,$85.8,$86.47,$84.17
06/25/2020,$86,1611248,$86.32,$86.68,$84.85
06/24/2020,$86.56,2848220,$87.44,$87.54,$84.95
06/23/2020,$87.92,2094190,$88.96,$89.29,$87.72
06/22/2020,$87.82,2219746,$88,$88.49,$87.22
06/19/2020,$88.26,4135872,$91.48,$91.92,$87.9
06/18/2020,$90.13,1428278,$90.73,$91.01,$89.63
06/17/2020,$91.26,1384634,$92.37,$92.48,$90.865
06/16/2020,$91.86,1842471,$94.33,$94.33,$90.9
06/15/2020,$91.44,1631002,$89.47,$91.9,$88.52
06/12/2020,$91.28,1806434,$92.85,$92.99,$89.67
06/11/2020,$90.67,2540492,$92.01,$92.92,$89.85
06/10/2020,$94.09,2418612,$95.43,$95.72,$93.405
06/09/2020,$95.56,2063466,$95,$96.35,$93.91
06/08/2020,$95.99,2748022,$96.5,$96.865,$95.51
06/05/2020,$96.52,3723062,$97.75,$98.28,$95.52
06/04/2020,$94.99,2537040,$94.41,$95.64,$93.79
06/03/2020,$94.56,2667131,$93.25,$95.86,$92.92
06/02/2020,$92.21,2484181,$91.19,$92.5,$90.8
06/01/2020,$90.52,2014087,$89.89,$91.35,$89.42
05/29/2020,$89.73,14610240,$90.28,$90.92,$88.51
05/28/2020,$90.85,4065885,$90.61,$91.31,$88.23
05/27/2020,$90.24,4590876,$89.43,$90.64,$88.755
05/26/2020,$88.05,3680787,$89.8,$90.94,$87.88
05/22/2020,$87.25,2247940,$88.42,$88.47,$86.09
05/21/2020,$88.01,2235935,$88.05,$88.27,$86.69
05/20/2020,$88.09,2653773,$88.45,$88.45,$87.14
05/19/2020,$86.86,2066570,$86.21,$88.18,$85.46
05/18/2020,$86.76,2550098,$87.76,$88.44,$85.98
05/15/2020,$84.9,3998422,$82.58,$85.31,$82.1
05/14/2020,$83.29,2684159,$79.2,$83.49,$77.58
05/13/2020,$80.44,2809094,$83.39,$83.78,$79.27
05/12/2020,$84,1926439,$87.09,$87.63,$83.99
05/11/2020,$86.37,1785036,$85.62,$87.24,$85.32
05/08/2020,$86.18,1949324,$86.04,$86.58,$84.995
05/07/2020,$84.6,1874058,$84.5,$85.48,$84.0399
05/06/2020,$83.17,1440311,$83.8,$84.36,$82.88
05/05/2020,$83.28,1929850,$84.43,$84.88,$82.68
05/04/2020,$83.09,1892926,$82.46,$83.655,$81.16
05/01/2020,$83.81,2130549,$84.39,$84.9,$82.75
04/30/2020,$86.43,2319667,$86.19,$88.78,$85.66
04/29/2020,$87.46,3261318,$90.53,$90.53,$86.25
04/28/2020,$88.27,2665879,$90.12,$90.47,$87.21
04/27/2020,$88.19,1840117,$87.1,$88.71,$86.98
04/24/2020,$85.89,2132129,$85.78,$86.4,$84.23
04/23/2020,$85.61,2108931,$86.68,$87.335,$84.55
04/22/2020,$86.79,2923381,$83,$87.465,$82.7
04/21/2020,$81.2,2768870,$80.09,$81.77,$79.9
04/20/2020,$82.07,1827534,$82.81,$84.13,$81.6
04/17/2020,$84.17,3326695,$83.14,$84.97,$82.09
04/16/2020,$80.11,2376677,$77.58,$80.19,$76.7
04/15/2020,$77.64,1907642,$77.19,$78.48,$76.48
04/14/2020,$79.89,2502880,$78.3,$80.41,$77.39
04/13/2020,$77.06,2014452,$79.78,$80.13,$75.17
04/09/2020,$80.37,4199894,$77.59,$82.1,$77
04/08/2020,$75.37,3681964,$72.22,$75.66,$70.86
04/07/2020,$71.35,3908634,$73.99,$75.5,$70
04/06/2020,$70.5,3683808,$66.55,$71.18,$66.47
04/03/2020,$63.3,2631594,$65.71,$66.09,$62.16
04/02/2020,$66.05,3399721,$67.31,$68.94,$64.545
04/01/2020,$67.65,3316472,$65,$68.18,$64.25
03/31/2020,$68.53,3797442,$70.13,$71.93,$68.07
03/30/2020,$70.67,4274636,$68.12,$72,$68
03/27/2020,$68.53,4000012,$72.24,$72.63,$68.05
03/26/2020,$75.75,4876545,$74.14,$76.19,$71.79
03/25/2020,$72.87,5180797,$70.41,$76.43,$65.67
03/24/2020,$69.66,5277130,$61.95,$70.17,$61.58
03/23/2020,$56.52,4522907,$57.24,$58.21,$54.95
03/20/2020,$58.08,4407842,$64.04,$64.94,$57.71
03/19/2020,$62.6,4564832,$59.48,$66.6891,$57.16
03/18/2020,$60.69,5693337,$61.97,$62.73,$57.9265
03/17/2020,$65.49,6169828,$71.3,$71.9,$60.95
03/16/2020,$69.83,4975745,$70.95,$71.99,$67.08
03/13/2020,$78.46,3754544,$81.78,$82.25,$75.8584
03/12/2020,$78.45,5271981,$75.58,$82.34,$74.61
03/11/2020,$80.97,2783085,$83.91,$84.1,$79.37
03/10/2020,$86.78,3464217,$86.08,$87.02,$83.3972
03/09/2020,$83.7,3776595,$84.31,$87.29,$83
03/06/2020,$89.4,2564288,$88.18,$89.89,$87.03
03/05/2020,$90.92,2171635,$92.49,$92.83,$89.93
03/04/2020,$94.63,2420260,$92.52,$94.89,$90.96
03/03/2020,$91.31,2431018,$92.53,$94.68,$90
03/02/2020,$92.53,2408925,$89.25,$92.55,$89.21
02/28/2020,$89.25,4240703,$90.64,$91.73,$87.56
02/27/2020,$92.67,3850397,$95.79,$96.6904,$92.65
02/26/2020,$97.5,3382464,$98.3,$99.41,$97.47
02/25/2020,$97.95,2389277,$100.73,$101.35,$97.53
02/24/2020,$100.25,1539126,$101.87,$102.64,$100.12
02/21/2020,$103.51,1015261,$103.55,$103.89,$102.96
02/20/2020,$103.87,1216256,$104.87,$105.18,$102.16
02/19/2020,$105.19,1875366,$104.45,$105.58,$104.22
02/18/2020,$104.03,1934701,$105.17,$105.19,$103.58
02/14/2020,$105.28,1249688,$105.01,$105.72,$104.63
02/13/2020,$105.03,1135050,$104.64,$105.66,$104.36
02/12/2020,$105.34,1784248,$104.56,$105.595,$103.8
02/11/2020,$104.05,2234418,$103.13,$104.307,$102.84
02/10/2020,$102.87,1667965,$102.31,$103.22,$102.05
02/07/2020,$102.04,2396880,$101.76,$102.62,$100.75
02/06/2020,$103.74,3271664,$102,$104.09,$101.1058
02/05/2020,$106.78,1814774,$107.42,$107.62,$105.73
02/04/2020,$106.71,1595548,$106.77,$106.84,$105.8601
02/03/2020,$106.41,1671046,$105.81,$106.85,$105.245
01/31/2020,$105.77,2117389,$106.58,$106.82,$105.35
01/30/2020,$106.6,1480032,$105.47,$106.65,$104.77
01/29/2020,$106.63,1401826,$104.9,$106.81,$104.72
01/28/2020,$104.82,1672549,$104.74,$105.09,$104.32
01/27/2020,$104.39,1833905,$103.62,$104.77,$102.63
01/24/2020,$104.98,2268806,$106.09,$106.2,$104.11
01/23/2020,$105.98,2128583,$105.81,$106.08,$105.12
01/22/2020,$106.49,2020788,$106.01,$107,$105.92
01/21/2020,$105.6,3494334,$104.68,$105.63,$104.51
01/17/2020,$105.4,4060364,$103.24,$105.61,$103.17
